universe_name,ticker,selection_rows,avg_weight,max_weight
small_growth_only_top10_control,SPOT,419,0.10000000000000002,0.1
small_growth_only_top10_control,FTNT,388,0.1,0.1
small_growth_only_top10_control,OKTA,383,0.1,0.1
small_growth_only_top10_control,ZS,369,0.09999999999999999,0.1
pool_a_v8_2_reproduction_top10_control,MSTR,360,0.1,0.1
pool_a_v8_2_reproduction_top10_control,NVDA,353,0.1,0.1
small_growth_only_top10_control,ASML,344,0.09999999999999999,0.1
small_growth_only_top10_control,TEAM,334,0.09999999999999999,0.1
small_growth_only_top10_control,TSM,329,0.09999999999999999,0.1
pool_a_v8_2_reproduction_top10_control,SHOP,327,0.1,0.1
pool_a_v8_2_reproduction_top10_control,TQQQ,327,0.1,0.1
small_growth_only_top10_control,MPWR,316,0.1,0.1
small_growth_only_top10_control,SNAP,311,0.1,0.1
small_growth_only_top10_control,MRVL,303,0.1,0.1
small_growth_only_top10_control,AMAT,301,0.1,0.1
pool_a_v8_2_reproduction_top10_control,NET,299,0.1,0.1
small_growth_only_top10_control,PINS,298,0.1,0.1
small_growth_only_top10_control,DDOG,292,0.1,0.1
pool_a_v8_2_reproduction,NVDA,288,0.2,0.2
pool_a_v8_2_reproduction_top10_control,TSLA,286,0.1,0.1
pool_a_plus_small_growth_top10_control,MSTR,282,0.1,0.1
small_growth_only_top10_control,KLAC,276,0.1,0.1
pool_a_v8_2_reproduction_top10_control,PLTR,272,0.1,0.1
small_growth_only_top10_control,ROKU,268,0.1,0.1
pool_a_plus_small_growth_ex_extreme_vol_top10_control,TQQQ,265,0.1,0.1
pool_a_v8_2_reproduction,MSTR,255,0.2,0.2
pool_a_v8_2_reproduction_top10_control,NFLX,249,0.1,0.1
small_growth_only,ZS,240,0.2,0.2
small_growth_only_top10_control,MDB,240,0.1,0.1
pool_a_v8_2_reproduction_top10_control,QLD,225,0.1,0.1
pool_a_plus_small_growth_ex_extreme_vol_top10_control,NOW,224,0.1,0.1
pool_a_v8_2_reproduction_top10_control,CRM,224,0.1,0.1
pool_a_v8_2_reproduction_top10_control,CRWD,224,0.1,0.1
pool_a_plus_small_growth,MSTR,220,0.2,0.2
small_growth_only,MDB,219,0.2,0.2
small_growth_only,PINS,214,0.2,0.2
pool_a_plus_small_growth_ex_extreme_vol_top10_control,TEAM,210,0.1,0.1
pool_a_plus_small_growth_top10_control,TEAM,210,0.1,0.1
small_growth_only,SNAP,208,0.2,0.2
pool_a_plus_small_growth_top10_control,TSLA,208,0.1,0.1
pool_a_v8_2_reproduction_top10_control,SOXX,207,0.10000000000000002,0.1
pool_a_plus_small_growth_ex_extreme_vol,TQQQ,205,0.2,0.2
pool_a_plus_small_growth_top10_control,ASML,203,0.1,0.1
small_growth_only_top10_control,ON,200,0.1,0.1
pool_a_v8_2_reproduction_top10_control,UPRO,199,0.1,0.1
