rebalance_month,v82_top5,v9_pool_a_top5,overlap_count,overlap_tickers,status
2024-01,"PLTR,MSTR,NVDA,SHOP,NET","PANW,TSLA,SHOP,CRWD,UPRO",1,SHOP,ok
2024-02,"UBER,ADBE,CRWD,ORCL,TSLA","MSTR,NFLX,INTC,ADBE,GOOGL",1,ADBE,ok
2024-04,"TSLA,PLTR,CRWD,QLD,NVDA","TSLA,SHOP,NET,SNOW,MU",1,TSLA,ok
2024-05,"MSTR,NET,NVDA,QLD,SHOP","SHOP,AMZN,XLK,GLD,NET",2,"NET,SHOP",ok
2024-07,"CRWD,MSTR,NVDA,SHOP,AVGO","ORCL,MU,MSTR,PLTR,TSLA",1,MSTR,ok
2024-09,"CRWD,INTC,NOW,META,MSTR","MSTR,INTC,XLK,CRWD,UPRO",3,"CRWD,INTC,MSTR",ok
2024-10,"MSTR,CRM,TSLA,PANW,NET","MSTR,AMZN,ADBE,ORCL,TLT",1,MSTR,ok
2024-12,"PLTR,TSLA,NFLX,MSTR,NET","PLTR,CRM,NET,SPY,CRWD",2,"NET,PLTR",ok
2025-01,"TSLA,PLTR,NVDA,MSTR,INTC","TSLA,TQQQ,CRM,QLD,AMD",1,TSLA,ok
2025-02,"AVGO,AMD,UBER,TSLA,CRM","UBER,AVGO,NOW,SOXX,GOOGL",2,"AVGO,UBER",ok
2025-03,"PLTR,TSLA,TQQQ,SHOP,NOW","PLTR,NET,SHOP,TQQQ,UPRO",3,"PLTR,SHOP,TQQQ",ok
2025-04,"NOW,QLD,SHOP,NVDA,SSO","NOW,TSLA,QLD,SHOP,INTC",3,"NOW,QLD,SHOP",ok
2025-06,"TQQQ,SOXX,QQQ,SSO,CRM","SOXX,SSO,MSTR,CRWD,PLTR",2,"SOXX,SSO",ok
2025-07,"NET,INTC,PLTR,NVDA,TQQQ","PLTR,CRWD,ORCL,NFLX,NVDA",2,"NVDA,PLTR",ok
2025-09,"MU,AMD,MSTR,NET,PLTR","UPRO,AAPL,PANW,AMD,QLD",1,AMD,ok
2025-10,"INTC,AMD,ORCL,MU,MSTR","MU,ORCL,MSTR,SOXX,ADBE",3,"MSTR,MU,ORCL",ok
2025-12,"MSTR,QLD,NFLX,NVDA,TQQQ","MSTR,CRM,GOOGL,NET,AAPL",1,MSTR,ok
2026-03,"MSTR,GLD,SNOW,INTC,CRWD","SNOW,SOXX,MSFT,CRWD,NET",2,"CRWD,SNOW",ok
