ticker,parquet_file,file_size_bytes,mtime_summary,audit_metadata_file,audit_metadata_mtime
AAPL,data/unified_ohlcv/us_stock_selection/prices/AAPL.parquet,496632,2026-05-02T10:36:52,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
ADBE,data/unified_ohlcv/us_stock_selection/prices/ADBE.parquet,430898,2026-05-02T10:36:54,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
AFRM,data/unified_ohlcv/us_stock_selection/prices/AFRM.parquet,73673,2026-05-02T10:37:35,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
AMD,data/unified_ohlcv/us_stock_selection/prices/AMD.parquet,404842,2026-05-02T10:36:56,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
AMZN,data/unified_ohlcv/us_stock_selection/prices/AMZN.parquet,376966,2026-05-02T10:36:57,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
ARKK,data/unified_ohlcv/us_stock_selection/prices/ARKK.parquet,141717,2026-05-02T10:37:19,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
AVGO,data/unified_ohlcv/us_stock_selection/prices/AVGO.parquet,220269,2026-05-02T10:36:58,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
CIBR,data/unified_ohlcv/us_stock_selection/prices/CIBR.parquet,133287,2026-05-02T10:37:20,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
COIN,data/unified_ohlcv/us_stock_selection/prices/COIN.parquet,71923,2026-05-02T10:37:36,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
CRM,data/unified_ohlcv/us_stock_selection/prices/CRM.parquet,283493,2026-05-02T10:36:59,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
CRWD,data/unified_ohlcv/us_stock_selection/prices/CRWD.parquet,94744,2026-05-02T10:37:00,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
DIA,data/unified_ohlcv/us_stock_selection/prices/DIA.parquet,350647,2026-05-02T10:37:14,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
GLD,data/unified_ohlcv/us_stock_selection/prices/GLD.parquet,263913,2026-05-02T10:37:41,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
GOOGL,data/unified_ohlcv/us_stock_selection/prices/GOOGL.parquet,295183,2026-05-02T10:37:01,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
IBB,data/unified_ohlcv/us_stock_selection/prices/IBB.parquet,306586,2026-05-02T10:37:21,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
IGV,data/unified_ohlcv/us_stock_selection/prices/IGV.parquet,294212,2026-05-02T10:37:23,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
INTC,data/unified_ohlcv/us_stock_selection/prices/INTC.parquet,445316,2026-05-02T10:37:42,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
IWM,data/unified_ohlcv/us_stock_selection/prices/IWM.parquet,326599,2026-05-02T10:37:16,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
LCID,data/unified_ohlcv/us_stock_selection/prices/LCID.parquet,67899,2026-05-02T10:37:37,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
META,data/unified_ohlcv/us_stock_selection/prices/META.parquet,186451,2026-05-02T10:37:02,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
MSFT,data/unified_ohlcv/us_stock_selection/prices/MSFT.parquet,440898,2026-05-02T10:37:03,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
MSTR,data/unified_ohlcv/us_stock_selection/prices/MSTR.parquet,331395,2026-05-02T10:37:38,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
MU,data/unified_ohlcv/us_stock_selection/prices/MU.parquet,405612,2026-05-02T10:37:44,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
NET,data/unified_ohlcv/us_stock_selection/prices/NET.parquet,90286,2026-05-02T10:37:04,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
NFLX,data/unified_ohlcv/us_stock_selection/prices/NFLX.parquet,316292,2026-05-02T10:37:05,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
NOW,data/unified_ohlcv/us_stock_selection/prices/NOW.parquet,183221,2026-05-02T10:37:06,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
NVDA,data/unified_ohlcv/us_stock_selection/prices/NVDA.parquet,336534,2026-05-02T10:37:08,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
ORCL,data/unified_ohlcv/us_stock_selection/prices/ORCL.parquet,423581,2026-05-02T10:37:09,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
