ticker,parquet_file,parquet_exists,parquet_readable,parquet_row_count,parquet_date_min,parquet_date_max,parquet_required_fields_present,missing_required_fields,non_null_adj_close_count,non_null_volume_count,duplicate_date_count,non_positive_price_count,non_positive_volume_count,file_size_bytes,mtime_summary,read_error
AAPL,data/unified_ohlcv/us_stock_selection/prices/AAPL.parquet,True,True,11438,1980-12-12,2026-05-01,True,none,11438,11438,0,0,1,496632,2026-05-02T10:36:52,NA
ADBE,data/unified_ohlcv/us_stock_selection/prices/ADBE.parquet,True,True,10006,1986-08-13,2026-05-01,True,none,10006,10006,0,0,0,430898,2026-05-02T10:36:54,NA
AFRM,data/unified_ohlcv/us_stock_selection/prices/AFRM.parquet,True,True,1331,2021-01-13,2026-05-01,True,none,1331,1331,0,0,0,73673,2026-05-02T10:37:35,NA
AMD,data/unified_ohlcv/us_stock_selection/prices/AMD.parquet,True,True,11626,1980-03-17,2026-05-01,True,none,11626,11626,0,0,2,404842,2026-05-02T10:36:56,NA
AMZN,data/unified_ohlcv/us_stock_selection/prices/AMZN.parquet,True,True,7286,1997-05-15,2026-05-01,True,none,7286,7286,0,0,0,376966,2026-05-02T10:36:57,NA
ARKK,data/unified_ohlcv/us_stock_selection/prices/ARKK.parquet,True,True,2891,2014-10-31,2026-05-01,True,none,2891,2891,0,0,8,141717,2026-05-02T10:37:19,NA
AVGO,data/unified_ohlcv/us_stock_selection/prices/AVGO.parquet,True,True,4210,2009-08-06,2026-05-01,True,none,4210,4210,0,0,0,220269,2026-05-02T10:36:58,NA
CIBR,data/unified_ohlcv/us_stock_selection/prices/CIBR.parquet,True,True,2722,2015-07-07,2026-05-01,True,none,2722,2722,0,0,0,133287,2026-05-02T10:37:20,NA
COIN,data/unified_ohlcv/us_stock_selection/prices/COIN.parquet,True,True,1269,2021-04-14,2026-05-01,True,none,1269,1269,0,0,0,71923,2026-05-02T10:37:36,NA
CRM,data/unified_ohlcv/us_stock_selection/prices/CRM.parquet,True,True,5500,2004-06-23,2026-05-01,True,none,5500,5500,0,0,0,283493,2026-05-02T10:36:59,NA
CRWD,data/unified_ohlcv/us_stock_selection/prices/CRWD.parquet,True,True,1732,2019-06-12,2026-05-01,True,none,1732,1732,0,0,0,94744,2026-05-02T10:37:00,NA
DIA,data/unified_ohlcv/us_stock_selection/prices/DIA.parquet,True,True,7115,1998-01-20,2026-05-01,True,none,7115,7115,0,0,0,350647,2026-05-02T10:37:14,NA
GLD,data/unified_ohlcv/us_stock_selection/prices/GLD.parquet,True,True,5396,2004-11-18,2026-05-01,True,none,5396,5396,0,0,0,263913,2026-05-02T10:37:41,NA
GOOGL,data/unified_ohlcv/us_stock_selection/prices/GOOGL.parquet,True,True,5460,2004-08-19,2026-05-01,True,none,5460,5460,0,0,0,295183,2026-05-02T10:37:01,NA
IBB,data/unified_ohlcv/us_stock_selection/prices/IBB.parquet,True,True,6342,2001-02-12,2026-05-01,True,none,6342,6342,0,0,0,306586,2026-05-02T10:37:21,NA
IGV,data/unified_ohlcv/us_stock_selection/prices/IGV.parquet,True,True,6235,2001-07-17,2026-05-01,True,none,6235,6235,0,0,7,294212,2026-05-02T10:37:23,NA
INTC,data/unified_ohlcv/us_stock_selection/prices/INTC.parquet,True,True,11626,1980-03-17,2026-05-01,True,none,11626,11626,0,0,1,445316,2026-05-02T10:37:42,NA
IWM,data/unified_ohlcv/us_stock_selection/prices/IWM.parquet,True,True,6521,2000-05-26,2026-05-01,True,none,6521,6521,0,0,0,326599,2026-05-02T10:37:16,NA
LCID,data/unified_ohlcv/us_stock_selection/prices/LCID.parquet,True,True,1411,2020-09-18,2026-05-01,True,none,1411,1411,0,0,0,67899,2026-05-02T10:37:37,NA
META,data/unified_ohlcv/us_stock_selection/prices/META.parquet,True,True,3508,2012-05-18,2026-05-01,True,none,3508,3508,0,0,0,186451,2026-05-02T10:37:02,NA
MSFT,data/unified_ohlcv/us_stock_selection/prices/MSFT.parquet,True,True,10112,1986-03-13,2026-05-01,True,none,10112,10112,0,0,0,440898,2026-05-02T10:37:03,NA
MSTR,data/unified_ohlcv/us_stock_selection/prices/MSTR.parquet,True,True,7016,1998-06-11,2026-05-01,True,none,7016,7016,0,0,0,331395,2026-05-02T10:37:38,NA
MU,data/unified_ohlcv/us_stock_selection/prices/MU.parquet,True,True,10561,1984-06-01,2026-05-01,True,none,10561,10561,0,0,0,405612,2026-05-02T10:37:44,NA
NET,data/unified_ohlcv/us_stock_selection/prices/NET.parquet,True,True,1667,2019-09-13,2026-05-01,True,none,1667,1667,0,0,0,90286,2026-05-02T10:37:04,NA
NFLX,data/unified_ohlcv/us_stock_selection/prices/NFLX.parquet,True,True,6024,2002-05-23,2026-05-01,True,none,6024,6024,0,0,0,316292,2026-05-02T10:37:05,NA
NOW,data/unified_ohlcv/us_stock_selection/prices/NOW.parquet,True,True,3479,2012-06-29,2026-05-01,True,none,3479,3479,0,0,0,183221,2026-05-02T10:37:06,NA
NVDA,data/unified_ohlcv/us_stock_selection/prices/NVDA.parquet,True,True,6861,1999-01-22,2026-05-01,True,none,6861,6861,0,0,0,336534,2026-05-02T10:37:08,NA
ORCL,data/unified_ohlcv/us_stock_selection/prices/ORCL.parquet,True,True,10113,1986-03-12,2026-05-01,True,none,10113,10113,0,0,0,423581,2026-05-02T10:37:09,NA
PANW,data/unified_ohlcv/us_stock_selection/prices/PANW.parquet,True,True,3465,2012-07-20,2026-05-01,True,none,3465,3465,0,0,0,182134,2026-05-02T10:37:45,NA
PLTR,data/unified_ohlcv/us_stock_selection/prices/PLTR.parquet,True,True,1403,2020-09-30,2026-05-01,True,none,1403,1403,0,0,0,75266,2026-05-02T10:37:10,NA
QLD,data/unified_ohlcv/us_stock_selection/prices/QLD.parquet,True,True,4997,2006-06-21,2026-05-01,True,none,4997,4997,0,0,0,264059,2026-05-02T10:37:30,NA
QQQ,data/unified_ohlcv/us_stock_selection/prices/QQQ.parquet,True,True,6829,1999-03-10,2026-05-01,True,none,6829,6829,0,0,0,340409,2026-05-02T10:37:17,NA
RIVN,data/unified_ohlcv/us_stock_selection/prices/RIVN.parquet,True,True,1122,2021-11-10,2026-05-01,True,none,1122,1122,0,0,0,59047,2026-05-02T10:37:38,NA
ROKU,data/unified_ohlcv/us_stock_selection/prices/ROKU.parquet,True,True,2159,2017-09-28,2026-05-01,True,none,2159,2159,0,0,0,115073,2026-05-02T10:37:39,NA
SHOP,data/unified_ohlcv/us_stock_selection/prices/SHOP.parquet,True,True,2754,2015-05-20,2026-05-01,True,none,2754,2754,0,0,1,149261,2026-05-02T10:37:11,NA
SHY,data/unified_ohlcv/us_stock_selection/prices/SHY.parquet,True,True,5978,2002-07-30,2026-05-01,True,none,5978,5978,0,0,0,178860,2026-05-02T10:37:46,NA
SKYY,data/unified_ohlcv/us_stock_selection/prices/SKYY.parquet,True,True,3728,2011-07-06,2026-05-01,True,none,3728,3728,0,0,0,174806,2026-05-02T10:37:24,NA
SMH,data/unified_ohlcv/us_stock_selection/prices/SMH.parquet,True,True,6516,2000-06-05,2026-05-01,True,none,6516,6516,0,0,0,303066,2026-05-02T10:37:25,NA
SNOW,data/unified_ohlcv/us_stock_selection/prices/SNOW.parquet,True,True,1413,2020-09-16,2026-05-01,True,none,1413,1413,0,0,0,77487,2026-05-02T10:37:12,NA
SOXL,data/unified_ohlcv/us_stock_selection/prices/SOXL.parquet,True,True,4061,2010-03-11,2026-05-01,True,none,4061,4061,0,0,0,211916,2026-05-02T10:37:31,NA
SOXX,data/unified_ohlcv/us_stock_selection/prices/SOXX.parquet,True,True,6237,2001-07-13,2026-05-01,True,none,6237,6237,0,0,0,300851,2026-05-02T10:37:26,NA
