ticker,audit_row_count,manifest_row_count,parquet_row_count,audit_vs_parquet_match,manifest_vs_parquet_match
AAPL,0,11438,11438,False,True
ADBE,0,10006,10006,False,True
AFRM,0,1331,1331,False,True
AMD,0,11626,11626,False,True
AMZN,0,7286,7286,False,True
ARKK,0,2891,2891,False,True
AVGO,0,4210,4210,False,True
CIBR,0,2722,2722,False,True
COIN,0,1269,1269,False,True
CRM,0,5500,5500,False,True
CRWD,0,1732,1732,False,True
DIA,0,7115,7115,False,True
GLD,0,5396,5396,False,True
GOOGL,0,5460,5460,False,True
IBB,0,6342,6342,False,True
IGV,0,6235,6235,False,True
INTC,0,11626,11626,False,True
IWM,0,6521,6521,False,True
LCID,0,1411,1411,False,True
META,0,3508,3508,False,True
MSFT,0,10112,10112,False,True
MSTR,0,7016,7016,False,True
MU,0,10561,10561,False,True
NET,0,1667,1667,False,True
NFLX,0,6024,6024,False,True
NOW,0,3479,3479,False,True
NVDA,0,6861,6861,False,True
ORCL,0,10113,10113,False,True
PANW,0,3465,3465,False,True
PLTR,0,1403,1403,False,True
QLD,0,4997,4997,False,True
QQQ,0,6829,6829,False,True
RIVN,0,1122,1122,False,True
ROKU,0,2159,2159,False,True
SHOP,0,2754,2754,False,True
SHY,0,5978,5978,False,True
SKYY,0,3728,3728,False,True
SMH,0,6516,6516,False,True
SNOW,0,1413,1413,False,True
SOXL,0,4061,4061,False,True
SOXX,0,6237,6237,False,True
SPY,0,8371,8371,False,True
SSO,0,4997,4997,False,True
TLT,0,5978,5978,False,True
TQQQ,0,4080,4080,False,True
TSLA,0,3985,3985,False,True
UBER,0,1754,1754,False,True
UPRO,0,4239,4239,False,True
UPST,0,1349,1349,False,True
XBI,0,5091,5091,False,True
XLK,0,6881,6881,False,True
