item,status,value
script_path_recorded,PASS,scripts/us_stock_selection/57_implement_formal_mve2_search.py
git_commit_recorded,PASS,b6b744f2c1476fbb45f1dba612d1d4417799be4b
run_id_recorded,PASS,formal_mve2_controlled_search_20260507_211937
output_dir_recorded,PASS,outputs/us_stock_selection/formal_mve2_controlled_search_20260507_211937
p2c_gate_read,PASS,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2c_recheck_20260507_170809/final_readiness_decision.json
audited_store_read,PASS,data/unified_ohlcv/us_stock_selection
group4_not_used,PASS,true
full_search_not_executed,PASS,true
model_training_not_executed,PASS,true
v10_not_executed,PASS,true
