future_output_file,required_for_p5_full_search,created_in_p4_dry_run,schema_defined_only
README.md,True,True,False
manifest.json,True,True,False
formal_mve2_search_report.md,True,False,True
candidate_summary.csv,True,False,True
selected_candidates.csv,True,False,True
rejected_candidates.csv,True,False,True
benchmark_comparison.csv,True,False,True
yearly_performance.csv,True,False,True
subperiod_performance.csv,True,False,True
drawdown_summary.csv,True,False,True
turnover_summary.csv,True,False,True
cost_stress_summary.csv,True,False,True
risk_flag_exposure.csv,True,False,True
parameter_grid_summary.csv,True,False,True
run_config.json,True,True,False
reproducibility_checklist.csv,True,False,True
formal_mve2_search_decision.json,True,False,True
small_tables/,True,True,False
zip,True,True,False
