parameter_set_id,strategy_family,momentum_lookback_days,volatility_lookback_days,liquidity_lookback_days,top_n,rebalance,weighting,median_volume_threshold
p001,momentum_rank,63,NA,NA,5,monthly,equal_weight,NA
p002,momentum_rank,63,NA,NA,10,monthly,equal_weight,NA
p003,momentum_rank,126,NA,NA,5,monthly,equal_weight,NA
p004,momentum_rank,126,NA,NA,10,monthly,equal_weight,NA
p005,momentum_rank,252,NA,NA,5,monthly,equal_weight,NA
p006,momentum_rank,252,NA,NA,10,monthly,equal_weight,NA
p007,momentum_low_vol,126,63,NA,5,monthly,equal_weight,NA
p008,momentum_low_vol,126,63,NA,10,monthly,equal_weight,NA
p009,momentum_low_vol,126,126,NA,5,monthly,equal_weight,NA
p010,momentum_low_vol,126,126,NA,10,monthly,equal_weight,NA
p011,momentum_low_vol,252,63,NA,5,monthly,equal_weight,NA
p012,momentum_low_vol,252,63,NA,10,monthly,equal_weight,NA
p013,momentum_low_vol,252,126,NA,5,monthly,equal_weight,NA
p014,momentum_low_vol,252,126,NA,10,monthly,equal_weight,NA
p015,momentum_liquidity_guard,126,NA,63,5,monthly,equal_weight,100000
p016,momentum_liquidity_guard,126,NA,63,10,monthly,equal_weight,100000
p017,momentum_liquidity_guard,252,NA,63,5,monthly,equal_weight,100000
p018,momentum_liquidity_guard,252,NA,63,10,monthly,equal_weight,100000
