ticker,price_file,readable,rows,date_min,date_max,adj_close_missing_count,volume_missing_count,non_positive_price_count,non_positive_volume_count,missing_handling
AAPL,data/unified_ohlcv/us_stock_selection/prices/AAPL.parquet,True,11438,1980-12-12 00:00:00,2026-05-01 00:00:00,0,0,0,1,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
ADBE,data/unified_ohlcv/us_stock_selection/prices/ADBE.parquet,True,10006,1986-08-13 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
AFRM,data/unified_ohlcv/us_stock_selection/prices/AFRM.parquet,True,1331,2021-01-13 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
AMD,data/unified_ohlcv/us_stock_selection/prices/AMD.parquet,True,11626,1980-03-17 00:00:00,2026-05-01 00:00:00,0,0,0,2,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
AMZN,data/unified_ohlcv/us_stock_selection/prices/AMZN.parquet,True,7286,1997-05-15 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
ARKK,data/unified_ohlcv/us_stock_selection/prices/ARKK.parquet,True,2891,2014-10-31 00:00:00,2026-05-01 00:00:00,0,0,0,8,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
AVGO,data/unified_ohlcv/us_stock_selection/prices/AVGO.parquet,True,4210,2009-08-06 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
CIBR,data/unified_ohlcv/us_stock_selection/prices/CIBR.parquet,True,2722,2015-07-07 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
COIN,data/unified_ohlcv/us_stock_selection/prices/COIN.parquet,True,1269,2021-04-14 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
CRM,data/unified_ohlcv/us_stock_selection/prices/CRM.parquet,True,5500,2004-06-23 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
CRWD,data/unified_ohlcv/us_stock_selection/prices/CRWD.parquet,True,1732,2019-06-12 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
DIA,data/unified_ohlcv/us_stock_selection/prices/DIA.parquet,True,7115,1998-01-20 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
GLD,data/unified_ohlcv/us_stock_selection/prices/GLD.parquet,True,5396,2004-11-18 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
GOOGL,data/unified_ohlcv/us_stock_selection/prices/GOOGL.parquet,True,5460,2004-08-19 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
IBB,data/unified_ohlcv/us_stock_selection/prices/IBB.parquet,True,6342,2001-02-12 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
IGV,data/unified_ohlcv/us_stock_selection/prices/IGV.parquet,True,6235,2001-07-17 00:00:00,2026-05-01 00:00:00,0,0,0,7,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
INTC,data/unified_ohlcv/us_stock_selection/prices/INTC.parquet,True,11626,1980-03-17 00:00:00,2026-05-01 00:00:00,0,0,0,1,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
IWM,data/unified_ohlcv/us_stock_selection/prices/IWM.parquet,True,6521,2000-05-26 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
LCID,data/unified_ohlcv/us_stock_selection/prices/LCID.parquet,True,1411,2020-09-18 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
