item,status,value
script_path_recorded,PASS,scripts/us_stock_selection/57_implement_formal_mve2_search.py
git_commit_recorded,PASS,ac278dd35bc55f7c7d3055b0c70e85183e3d4f9b
run_id_recorded,PASS,formal_mve2_controlled_search_p5b_20260507_215801
output_dir_recorded,PASS,outputs/us_stock_selection/formal_mve2_controlled_search_p5b_20260507_215801
p2c_gate_read,PASS,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2c_recheck_20260507_170809/final_readiness_decision.json
audited_store_read,PASS,data/unified_ohlcv/us_stock_selection
group4_not_used,PASS,true
full_search_not_executed,PASS,true
model_training_not_executed,PASS,true
v10_not_executed,PASS,true
