ticker,price_file,readable,read_error,rows,first_date,last_date,columns,has_date,has_ticker,has_adj_close,has_volume,has_open,has_high,has_low,has_close,duplicate_date_ticker_count,universe_status,covers_limited_start,covers_limited_end,covers_limited_window
AAPL,data/unified_ohlcv/us_stock_selection/prices/AAPL.parquet,True,NA,11438,1980-12-12,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
ADBE,data/unified_ohlcv/us_stock_selection/prices/ADBE.parquet,True,NA,10006,1986-08-13,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
AFRM,data/unified_ohlcv/us_stock_selection/prices/AFRM.parquet,True,NA,1331,2021-01-13,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,excluded,False,True,False
AMD,data/unified_ohlcv/us_stock_selection/prices/AMD.parquet,True,NA,11626,1980-03-17,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
AMZN,data/unified_ohlcv/us_stock_selection/prices/AMZN.parquet,True,NA,7286,1997-05-15,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
ARKK,data/unified_ohlcv/us_stock_selection/prices/ARKK.parquet,True,NA,2891,2014-10-31,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
AVGO,data/unified_ohlcv/us_stock_selection/prices/AVGO.parquet,True,NA,4210,2009-08-06,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
CIBR,data/unified_ohlcv/us_stock_selection/prices/CIBR.parquet,True,NA,2722,2015-07-07,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
COIN,data/unified_ohlcv/us_stock_selection/prices/COIN.parquet,True,NA,1269,2021-04-14,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,excluded,False,True,False
CRM,data/unified_ohlcv/us_stock_selection/prices/CRM.parquet,True,NA,5500,2004-06-23,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
CRWD,data/unified_ohlcv/us_stock_selection/prices/CRWD.parquet,True,NA,1732,2019-06-12,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,excluded,False,True,False
DIA,data/unified_ohlcv/us_stock_selection/prices/DIA.parquet,True,NA,7115,1998-01-20,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
GLD,data/unified_ohlcv/us_stock_selection/prices/GLD.parquet,True,NA,5396,2004-11-18,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
GOOGL,data/unified_ohlcv/us_stock_selection/prices/GOOGL.parquet,True,NA,5460,2004-08-19,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
IBB,data/unified_ohlcv/us_stock_selection/prices/IBB.parquet,True,NA,6342,2001-02-12,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
IGV,data/unified_ohlcv/us_stock_selection/prices/IGV.parquet,True,NA,6235,2001-07-17,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
INTC,data/unified_ohlcv/us_stock_selection/prices/INTC.parquet,True,NA,11626,1980-03-17,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
IWM,data/unified_ohlcv/us_stock_selection/prices/IWM.parquet,True,NA,6521,2000-05-26,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
LCID,data/unified_ohlcv/us_stock_selection/prices/LCID.parquet,True,NA,1411,2020-09-18,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,excluded,False,True,False
META,data/unified_ohlcv/us_stock_selection/prices/META.parquet,True,NA,3508,2012-05-18,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
MSFT,data/unified_ohlcv/us_stock_selection/prices/MSFT.parquet,True,NA,10112,1986-03-13,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
MSTR,data/unified_ohlcv/us_stock_selection/prices/MSTR.parquet,True,NA,7016,1998-06-11,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
MU,data/unified_ohlcv/us_stock_selection/prices/MU.parquet,True,NA,10561,1984-06-01,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
NET,data/unified_ohlcv/us_stock_selection/prices/NET.parquet,True,NA,1667,2019-09-13,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,excluded,False,True,False
NFLX,data/unified_ohlcv/us_stock_selection/prices/NFLX.parquet,True,NA,6024,2002-05-23,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
NOW,data/unified_ohlcv/us_stock_selection/prices/NOW.parquet,True,NA,3479,2012-06-29,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
NVDA,data/unified_ohlcv/us_stock_selection/prices/NVDA.parquet,True,NA,6861,1999-01-22,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
ORCL,data/unified_ohlcv/us_stock_selection/prices/ORCL.parquet,True,NA,10113,1986-03-12,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
PANW,data/unified_ohlcv/us_stock_selection/prices/PANW.parquet,True,NA,3465,2012-07-20,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,eligible,True,True,True
PLTR,data/unified_ohlcv/us_stock_selection/prices/PLTR.parquet,True,NA,1403,2020-09-30,2026-05-01,date;open;high;low;close;adj_close;volume;dividends;stock_splits;ticker;source;download_timestamp,True,True,True,True,True,True,True,True,0,excluded,False,True,False
