ticker,universe_status,layer,bucket,reason,price_file_exists,rows,first_date,last_date
AAPL,eligible,Layer 1 - Mega-cap tech / core technology,Layer1 Mega-cap / core equity,ready_10y_plus_unified_adj_close_volume,True,11438,1980-12-12,2026-05-01
ADBE,eligible,Layer 1 - Mega-cap tech / core technology,Layer1 Mega-cap / core equity,ready_10y_plus_unified_adj_close_volume,True,10006,1986-08-13,2026-05-01
AMD,eligible,Layer 1 - Mega-cap tech / core technology,Layer1 Mega-cap / core equity,ready_10y_plus_unified_adj_close_volume,True,11626,1980-03-17,2026-05-01
AMZN,eligible,Layer 1 - Mega-cap tech / core technology,Layer1 Mega-cap / core equity,ready_10y_plus_unified_adj_close_volume,True,7286,1997-05-15,2026-05-01
AVGO,eligible,Layer 1 - Mega-cap tech / core technology,Layer1 Mega-cap / core equity,ready_10y_plus_unified_adj_close_volume,True,4210,2009-08-06,2026-05-01
CRM,eligible,Layer 1 - Mega-cap tech / core technology,Layer1 Mega-cap / core equity,ready_10y_plus_unified_adj_close_volume,True,5500,2004-06-23,2026-05-01
GOOGL,eligible,Layer 1 - Mega-cap tech / core technology,Layer1 Mega-cap / core equity,ready_10y_plus_unified_adj_close_volume,True,5460,2004-08-19,2026-05-01
META,eligible,Layer 1 - Mega-cap tech / core technology,Layer1 Mega-cap / core equity,ready_10y_plus_unified_adj_close_volume,True,3508,2012-05-18,2026-05-01
MSFT,eligible,Layer 1 - Mega-cap tech / core technology,Layer1 Mega-cap / core equity,ready_10y_plus_unified_adj_close_volume,True,10112,1986-03-13,2026-05-01
NFLX,eligible,Layer 1 - Mega-cap tech / core technology,Layer1 Mega-cap / core equity,ready_10y_plus_unified_adj_close_volume,True,6024,2002-05-23,2026-05-01
NOW,eligible,Layer 1 - Mega-cap tech / core technology,Layer1 Mega-cap / core equity,ready_10y_plus_unified_adj_close_volume,True,3479,2012-06-29,2026-05-01
NVDA,eligible,Layer 1 - Mega-cap tech / core technology,Layer1 Mega-cap / core equity,ready_10y_plus_unified_adj_close_volume,True,6861,1999-01-22,2026-05-01
ORCL,eligible,Layer 1 - Mega-cap tech / core technology,Layer1 Mega-cap / core equity,ready_10y_plus_unified_adj_close_volume,True,10113,1986-03-12,2026-05-01
SHOP,eligible,Layer 1 - Mega-cap tech / core technology,Layer1 Mega-cap / core equity,ready_10y_plus_unified_adj_close_volume,True,2754,2015-05-20,2026-05-01
TSLA,eligible,Layer 1 - Mega-cap tech / core technology,Layer1 Mega-cap / core equity,ready_10y_plus_unified_adj_close_volume,True,3985,2010-06-29,2026-05-01
DIA,eligible,Layer 2 - Core index ETF,Layer2 Core ETF,ready_10y_plus_unified_adj_close_volume,True,7115,1998-01-20,2026-05-01
IWM,eligible,Layer 2 - Core index ETF,Layer2 Core ETF,ready_10y_plus_unified_adj_close_volume,True,6521,2000-05-26,2026-05-01
QQQ,eligible,Layer 2 - Core index ETF,Layer2 Core ETF,ready_10y_plus_unified_adj_close_volume,True,6829,1999-03-10,2026-05-01
SPY,eligible,Layer 2 - Core index ETF,Layer2 Core ETF,ready_10y_plus_unified_adj_close_volume,True,8371,1993-01-29,2026-05-01
