ticker,rows,duplicate_date_ticker_count,non_positive_price_count,jump_abs_gt_50pct_count,max_abs_daily_return
AAPL,11438,0,0,1,0.518692077720171
ADBE,10006,0,0,0,0.3220324533958865
AFRM,1331,0,0,0,0.4667156715737868
AMD,11626,0,0,1,0.5229008335186689
AMZN,7286,0,0,0,0.3447136193726126
ARKK,2891,0,0,0,0.16637872025988543
AVGO,4210,0,0,0,0.24432633293123307
CIBR,2722,0,0,0,0.10181007423868937
COIN,1269,0,0,0,0.3111465701986482
CRM,5500,0,0,0,0.2714818925908684
CRWD,1732,0,0,0,0.17417336729090072
DIA,7115,0,0,0,0.13555859659428693
GLD,5396,0,0,0,0.11290530102327678
GOOGL,5460,0,0,0,0.1999155350035271
IBB,6342,0,0,0,0.09866470069842492
IGV,6235,0,0,0,0.12175702160380086
INTC,11626,0,0,0,0.26378114466006974
IWM,6521,0,0,0,0.1326693260354216
LCID,1411,0,0,0,0.42999996609157987
META,3508,0,0,0,0.29611460051133176
MSFT,10112,0,0,0,0.3011590976688092
MSTR,7016,0,0,2,0.7643096702494476
MU,10561,0,0,0,0.25242733578702503
NET,1667,0,0,0,0.2705801382169988
NFLX,6024,0,0,0,0.42223507313003394
NOW,3479,0,0,0,0.17745222634793312
NVDA,6861,0,0,0,0.42414778846096146
ORCL,10113,0,0,0,0.43871012384521824
PANW,3465,0,0,0,0.2844109267085455
PLTR,1403,0,0,0,0.30801445797701255
QLD,4997,0,0,0,0.24587235070252644
QQQ,6829,0,0,0,0.1684213893490596
RIVN,1122,0,0,0,0.26642853873116623
ROKU,2159,0,0,1,0.5493630731233319
SHOP,2754,0,0,1,0.5105882389240197
SHY,5978,0,0,0,0.009974467373090823
SKYY,3728,0,0,0,0.1202772439788462
SMH,6516,0,0,0,0.17160330336412133
SNOW,1413,0,0,0,0.3270601965869093
SOXL,4061,0,0,1,0.5478788510087242
SOXX,6237,0,0,0,0.18571613721731173
SPY,8371,0,0,0,0.14519810026064128
SSO,4997,0,0,0,0.2335825781805294
TLT,5978,0,0,0,0.07519544300260028
TQQQ,4080,0,0,0,0.35244204842276305
TSLA,3985,0,0,0,0.24395075824616308
UBER,1754,0,0,0,0.38259110614382497
UPRO,4239,0,0,0,0.34946077199317305
UPST,1349,0,0,2,0.8932389308205069
XBI,5091,0,0,0,0.1326396228482769
XLK,6881,0,0,0,0.16101724000558515
