ticker,price_rows,audit_n_rows,audit_download_success,conflict
AAPL,11438,0,False,True
ADBE,10006,0,False,True
AMD,11626,0,False,True
AMZN,7286,0,False,True
AVGO,4210,0,False,True
CRM,5500,0,False,True
CRWD,1732,0,False,True
GOOGL,5460,0,False,True
META,3508,0,False,True
MSFT,10112,0,False,True
NET,1667,0,False,True
NFLX,6024,0,False,True
NOW,3479,0,False,True
NVDA,6861,0,False,True
ORCL,10113,0,False,True
PLTR,1403,0,False,True
SHOP,2754,0,False,True
SNOW,1413,0,False,True
TSLA,3985,0,False,True
DIA,7115,0,False,True
IWM,6521,0,False,True
QQQ,6829,0,False,True
SPY,8371,0,False,True
ARKK,2891,0,False,True
CIBR,2722,0,False,True
IBB,6342,0,False,True
IGV,6235,0,False,True
SKYY,3728,0,False,True
SMH,6516,0,False,True
SOXX,6237,0,False,True
XBI,5091,0,False,True
XLK,6881,0,False,True
QLD,4997,0,False,True
SOXL,4061,0,False,True
SSO,4997,0,False,True
TQQQ,4080,0,False,True
UPRO,4239,0,False,True
AFRM,1331,0,False,True
COIN,1269,0,False,True
LCID,1411,0,False,True
MSTR,7016,0,False,True
RIVN,1122,0,False,True
ROKU,2159,0,False,True
UPST,1349,0,False,True
GLD,5396,0,False,True
INTC,11626,0,False,True
MU,10561,0,False,True
PANW,3465,0,False,True
SHY,5978,0,False,True
TLT,5978,0,False,True
UBER,1754,0,False,True
