ticker,universe_status,rows,first_date,last_date,covers_limited_window
AAPL,eligible,11438,1980-12-12,2026-05-01,True
ADBE,eligible,10006,1986-08-13,2026-05-01,True
AFRM,excluded,1331,2021-01-13,2026-05-01,False
AMD,eligible,11626,1980-03-17,2026-05-01,True
AMZN,eligible,7286,1997-05-15,2026-05-01,True
ARKK,eligible,2891,2014-10-31,2026-05-01,True
AVGO,eligible,4210,2009-08-06,2026-05-01,True
CIBR,eligible,2722,2015-07-07,2026-05-01,True
COIN,excluded,1269,2021-04-14,2026-05-01,False
CRM,eligible,5500,2004-06-23,2026-05-01,True
CRWD,excluded,1732,2019-06-12,2026-05-01,False
DIA,eligible,7115,1998-01-20,2026-05-01,True
GLD,eligible,5396,2004-11-18,2026-05-01,True
GOOGL,eligible,5460,2004-08-19,2026-05-01,True
IBB,eligible,6342,2001-02-12,2026-05-01,True
IGV,eligible,6235,2001-07-17,2026-05-01,True
INTC,eligible,11626,1980-03-17,2026-05-01,True
IWM,eligible,6521,2000-05-26,2026-05-01,True
LCID,excluded,1411,2020-09-18,2026-05-01,False
META,eligible,3508,2012-05-18,2026-05-01,True
MSFT,eligible,10112,1986-03-13,2026-05-01,True
MSTR,eligible,7016,1998-06-11,2026-05-01,True
MU,eligible,10561,1984-06-01,2026-05-01,True
NET,excluded,1667,2019-09-13,2026-05-01,False
NFLX,eligible,6024,2002-05-23,2026-05-01,True
NOW,eligible,3479,2012-06-29,2026-05-01,True
NVDA,eligible,6861,1999-01-22,2026-05-01,True
ORCL,eligible,10113,1986-03-12,2026-05-01,True
PANW,eligible,3465,2012-07-20,2026-05-01,True
PLTR,excluded,1403,2020-09-30,2026-05-01,False
QLD,eligible,4997,2006-06-21,2026-05-01,True
QQQ,eligible,6829,1999-03-10,2026-05-01,True
RIVN,excluded,1122,2021-11-10,2026-05-01,False
ROKU,excluded,2159,2017-09-28,2026-05-01,False
SHOP,eligible,2754,2015-05-20,2026-05-01,True
SHY,eligible,5978,2002-07-30,2026-05-01,True
SKYY,eligible,3728,2011-07-06,2026-05-01,True
SMH,eligible,6516,2000-06-05,2026-05-01,True
SNOW,excluded,1413,2020-09-16,2026-05-01,False
SOXL,eligible,4061,2010-03-11,2026-05-01,True
SOXX,eligible,6237,2001-07-13,2026-05-01,True
SPY,eligible,8371,1993-01-29,2026-05-01,True
SSO,eligible,4997,2006-06-21,2026-05-01,True
TLT,eligible,5978,2002-07-30,2026-05-01,True
TQQQ,eligible,4080,2010-02-11,2026-05-01,True
TSLA,eligible,3985,2010-06-29,2026-05-01,True
UBER,excluded,1754,2019-05-10,2026-05-01,False
UPRO,eligible,4239,2009-06-25,2026-05-01,True
UPST,excluded,1349,2020-12-16,2026-05-01,False
XBI,eligible,5091,2006-02-06,2026-05-01,True
XLK,eligible,6881,1998-12-22,2026-05-01,True
