conflict_type,involved_file,ticker,field_name,observed_value,expected_value,severity,affects_reproducibility,affects_formal_mve2_gate,recommended_fix
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,AAPL,n_rows;download_success,parquet_rows=11438; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,ADBE,n_rows;download_success,parquet_rows=10006; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,AMD,n_rows;download_success,parquet_rows=11626; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,AMZN,n_rows;download_success,parquet_rows=7286; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,AVGO,n_rows;download_success,parquet_rows=4210; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,CRM,n_rows;download_success,parquet_rows=5500; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,CRWD,n_rows;download_success,parquet_rows=1732; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,GOOGL,n_rows;download_success,parquet_rows=5460; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,META,n_rows;download_success,parquet_rows=3508; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,MSFT,n_rows;download_success,parquet_rows=10112; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,NET,n_rows;download_success,parquet_rows=1667; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,NFLX,n_rows;download_success,parquet_rows=6024; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,NOW,n_rows;download_success,parquet_rows=3479; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,NVDA,n_rows;download_success,parquet_rows=6861; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,ORCL,n_rows;download_success,parquet_rows=10113; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,PLTR,n_rows;download_success,parquet_rows=1403; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,SHOP,n_rows;download_success,parquet_rows=2754; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,SNOW,n_rows;download_success,parquet_rows=1413; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,TSLA,n_rows;download_success,parquet_rows=3985; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,DIA,n_rows;download_success,parquet_rows=7115; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,IWM,n_rows;download_success,parquet_rows=6521; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
