ticker,flag_type,source_status,future_formal_search_handling,blocks_p4_dry_run,blocks_future_p5_by_default,evidence_file
AAPL,non_positive_volume,eligible,carry_as_risk_flag,False,False,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/volume_exception_detail.csv
AMD,non_positive_volume,eligible,carry_as_risk_flag,False,False,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/volume_exception_detail.csv
ARKK,non_positive_volume,eligible,carry_as_risk_flag,False,False,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/volume_exception_detail.csv
IGV,non_positive_volume,eligible,carry_as_risk_flag,False,False,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/volume_exception_detail.csv
INTC,non_positive_volume,eligible,carry_as_risk_flag,False,False,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/volume_exception_detail.csv
SHOP,non_positive_volume,eligible,carry_as_risk_flag,False,False,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/volume_exception_detail.csv
AAPL,large_daily_price_jump,eligible,carry_as_risk_flag,False,False,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/price_jump_detail.csv
AMD,large_daily_price_jump,eligible,carry_as_risk_flag,False,False,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/price_jump_detail.csv
MSTR,large_daily_price_jump,eligible,carry_as_risk_flag,False,False,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/price_jump_detail.csv
ROKU,large_daily_price_jump,excluded,carry_as_risk_flag,False,False,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/price_jump_detail.csv
SHOP,large_daily_price_jump,eligible,carry_as_risk_flag,False,False,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/price_jump_detail.csv
SOXL,large_daily_price_jump,eligible,carry_as_risk_flag,False,False,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/price_jump_detail.csv
UPST,large_daily_price_jump,excluded,carry_as_risk_flag,False,False,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/price_jump_detail.csv
