ticker,universe_status,allowed_in_formal_candidate_pool,observation_only,risk_flag_required,reason
AAPL,eligible,True,False,True,ready_10y_plus_unified_adj_close_volume
ADBE,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
AMD,eligible,True,False,True,ready_10y_plus_unified_adj_close_volume
AMZN,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
ARKK,eligible,True,False,True,ready_10y_plus_unified_adj_close_volume
AVGO,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
CIBR,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
CRM,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
DIA,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
GLD,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
GOOGL,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
IBB,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
IGV,eligible,True,False,True,ready_10y_plus_unified_adj_close_volume
INTC,eligible,True,False,True,ready_10y_plus_unified_adj_close_volume
IWM,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
META,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
MSFT,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
MSTR,eligible,True,False,True,ready_10y_plus_unified_adj_close_volume
MU,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
NFLX,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
NOW,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
NVDA,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
ORCL,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
PANW,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
QLD,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
QQQ,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
SHOP,eligible,True,False,True,ready_10y_plus_unified_adj_close_volume
SHY,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
SKYY,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
SMH,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
SOXL,eligible,True,False,True,ready_10y_plus_unified_adj_close_volume
SOXX,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
SPY,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
SSO,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
TLT,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
TQQQ,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
TSLA,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
UPRO,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
XBI,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
XLK,eligible,True,False,False,ready_10y_plus_unified_adj_close_volume
AFRM,excluded,False,True,False,listed_history_lt_10y_or_mve2_not_ready
COIN,excluded,False,True,False,listed_history_lt_10y_or_mve2_not_ready
CRWD,excluded,False,True,False,listed_history_lt_10y_or_mve2_not_ready
LCID,excluded,False,True,False,listed_history_lt_10y_or_mve2_not_ready
NET,excluded,False,True,False,listed_history_lt_10y_or_mve2_not_ready
PLTR,excluded,False,True,False,listed_history_lt_10y_or_mve2_not_ready
RIVN,excluded,False,True,False,listed_history_lt_10y_or_mve2_not_ready
ROKU,excluded,False,True,True,listed_history_lt_10y_or_mve2_not_ready
SNOW,excluded,False,True,False,listed_history_lt_10y_or_mve2_not_ready
UBER,excluded,False,True,False,listed_history_lt_10y_or_mve2_not_ready
UPST,excluded,False,True,True,listed_history_lt_10y_or_mve2_not_ready
